rank,name,confed,off,def,spi
45,Turkey,UEFA,2.0,1.04,65.73
46,Saudi Arabia,AFC,1.61,0.75,65.04
47,Paraguay,CONMEBOL,1.7,0.83,64.92
48,Greece,UEFA,1.51,0.68,64.88
49,Rep of Ireland,UEFA,1.5,0.73,63.3
50,Nigeria,CAF,1.56,0.81,62.48
51,Guatemala,CONCACAF,1.6,0.87,62.16
52,North Macedonia,UEFA,1.62,0.93,60.94
53,Bosnia and Herzegovina,UEFA,1.57,0.92,60.1
54,Panama,CONCACAF,1.66,1.01,59.87
55,Basque Country,UEFA,1.63,1.0,59.32
56,Romania,UEFA,1.6,0.99,59.09
57,Slovakia,UEFA,1.64,1.04,58.86
58,Finland,UEFA,1.51,0.96,57.86
59,Bolivia,CONMEBOL,1.79,1.22,57.69
60,Costa Rica,CONCACAF,1.34,0.82,57.6
61,New Zealand,OFC,1.64,1.09,57.55
62,Northern Ireland,UEFA,1.33,0.85,56.48
63,Bahrain,AFC,1.61,1.11,56.38
64,Qatar,AFC,1.56,1.08,56.16
65,Ghana,CAF,1.24,0.78,56.08
66,Slovenia,UEFA,1.36,0.91,55.7
67,Congo DR,CAF,1.39,0.99,54.39
68,Israel,UEFA,1.8,1.42,53.55
69,South Africa,CAF,1.28,0.93,53.29
70,Montenegro,UEFA,1.32,0.97,53.12
71,Jamaica,CONCACAF,1.43,1.08,53.1
72,Burkina Faso,CAF,1.34,1.01,52.9
73,Georgia,UEFA,1.3,0.98,52.69
74,Kosovo,UEFA,1.55,1.23,52.43
75,Hungary,UEFA,1.36,1.05,52.33
76,Uzbekistan,AFC,1.55,1.24,52.27
77,Albania,UEFA,1.21,0.92,51.81
78,Oman,AFC,1.27,0.98,51.68
79,Gabon,CAF,1.32,1.09,50.54
80,United Arab Emirates,AFC,1.24,1.03,49.94
81,Cape Verde Islands,CAF,1.17,0.96,49.8
82,Iceland,UEFA,1.39,1.19,49.73
83,Haiti,CONCACAF,1.38,1.19,49.37
84,Uganda,CAF,1.25,1.07,49.24
85,Togo,CAF,1.24,1.06,49.11
86,Honduras,CONCACAF,1.29,1.15,48.28
87,Benin,CAF,1.03,0.87,48.22
88,Bulgaria,UEFA,1.25,1.14,47.44
89,Equatorial Guinea,CAF,1.1,0.98,47.35
90,Zambia,CAF,1.57,1.52,46.6
